No Profile Tanggal Jam O3 CO NO2 SO2 NO CO2 VOC PM1 PM2.5 PM4 PM10 TSP TEMP HUM WS WD ISPU Status 
1 BANDUNG 2019-05-19 00:04:19 21.35 0.78 6.77 14.06 26.168 409.86 251.202 0 0 0 2.77 0 21.4 100 0.6 5 9 BAIK 
2 BANDUNG 2019-05-19 00:15:01 5.93 0.82 14.87 17.23 53.853 394.79 501.356 0 0 0 11.95 0 42.6 200 0 2 12 BAIK 
3 BANDUNG 2019-05-19 00:30:06 6.62 0.63 22.24 2.31 38.304 390.66 753.291 0 0 0 12.71 0 63.6 299.2 0 2 13 BAIK 
4 BANDUNG 2019-05-19 00:49:19 13.29 0.44 19 5.32 18.962 401.23 251.043 0 0 0 1.2 0 21.3 88.2 0.525 5 6 BAIK 
5 BANDUNG 2019-05-19 01:04:19 2.44 0.47 26.74 13.61 35.27 381.67 250.471 0 0 0 3.52 0 21.3 97.4 0.975 5 9 BAIK 
6 BANDUNG 2019-05-19 01:19:19 1.17 0.37 19.9 24.76 45.13 391.49 251.088 0 0 0 5.99 0 21.1 87.7 0.675 5 15 BAIK 
7 BANDUNG 2019-05-19 01:49:19 7.84 0.28 21.16 21.9 39.063 392.45 249.623 0 0 0 0.37 0 20.5 100 0.375 4 14 BAIK 
8 BANDUNG 2019-05-19 02:04:19 3.87 0.26 22.6 15.12 63.714 384.96 250.983 0 0 0 0.82 0 20.4 100 0.225 5 9 BAIK 
9 BANDUNG 2019-05-19 02:15:44 4.66 0.37 24.4 36.82 41.338 402.94 251.399 0 0 0 11.39 0 19.9 100 0 1 23 BAIK 
10 BANDUNG 2019-05-19 02:34:19 14.83 0.37 24.4 19.19 26.547 394.13 250.089 0 0 0 1.43 0 20.2 100 0.075 4 12 BAIK 
11 BANDUNG 2019-05-19 02:49:19 2.44 0.33 25.12 34.11 73.574 402.94 251.712 0 0 0 12.31 0 20.1 90 0.075 5 21 BAIK 
12 BANDUNG 2019-05-19 03:04:19 10.28 0.23 17.75 23.11 33.753 393.03 251.872 0 0 0 7.18 0 20.1 100 0.075 5 14 BAIK 
13 BANDUNG 2019-05-19 03:19:19 3.6 0.29 27.1 38.33 40.959 407.26 252.28 0 0 0 1.06 0 20 100 0.225 5 24 BAIK 
14 BANDUNG 2019-05-19 03:34:19 0.74 0.08 31.23 16.78 51.198 407.74 252.435 0 0 0 8.92 0 19.7 100 0 5 10 BAIK 
15 BANDUNG 2019-05-19 03:49:19 4.34 0.12 27.82 19.34 48.164 397.39 252.408 0 0 0 1.64 0 19.6 100 0 5 12 BAIK 
16 BANDUNG 2019-05-19 04:04:19 25 0.21 20.62 6.98 61.059 404.44 252.389 0 0 0 3.42 0 17.1 90 0 5 10 BAIK 
17 BANDUNG 2019-05-19 04:19:18 9.59 0.28 19.54 23.26 45.889 404.57 252.622 0 0 0 8.22 0 19.3 100 0.15 5 15 BAIK 
18 BANDUNG 2019-05-19 04:34:19 11.71 0.15 21.7 16.02 36.787 398.14 252.478 0 0 0 7.03 0 19.5 100 0.6 5 10 BAIK 
19 BANDUNG 2019-05-19 04:45:35 32.47 0.17 19.72 28.23 69.782 390.19 2019.47 0 0 0 2.38 0 158 800 0 6 18 BAIK 
20 BANDUNG 2019-05-19 05:04:19 37.08 0.16 30.51 32.3 50.44 402.68 252.34 0 0 0 0.77 0 17.4 100 0.225 5 20 BAIK 
21 BANDUNG 2019-05-19 05:19:19 9.32 0.2 31.41 41.94 42.476 401.22 251.786 0 0 0 4.78 0 18.8 100 0.15 5 26 BAIK 
22 BANDUNG 2019-05-19 05:34:19 17.37 0.36 26.2 31.54 62.955 379.36 252.33 0 0 0 14.76 0 19 100 0.45 5 20 BAIK 
